codigo,descripcion
No hay trabajo - General ,"Comentarios que expresan la falta de empleo o de oportunidades laborales sin especificar una causa o grupo particular. Incluye afirmaciones generales como “no hay trabajo” o “no hay oportunidades”, “falta de empleo”, sin referencia a edad, experiencia u otros factores."
No hay trabajo - Extranjeros,"Comentarios que asocian la falta de empleo o de oportunidades laborales con la presencia o contratación de personas extranjeras. Incluye menciones explícitas a “extranjeros”, “migrantes” u otras nacionalidades en relación con la escasez de trabajo."
No hay trabajo - Edad,"Comentarios que vinculan la falta de empleo con la edad del trabajador, generalmente refiriéndose a dificultades para conseguir trabajo por ser mayor. Incluye frases como “no consigo empleo todos son o 45 años o 55 como límite de edad” y “No hay oportunidad para la gente de mi edad”. "
No hay trabajo - Experiencia,"Comentarios que atribuyen la falta de empleo a la falta de experiencia laboral o a la dificultad de conseguir una primera oportunidad de trabajo. Incluye menciones como “ mínimo de experiencia totalmente irrazonable”, “ no haya trabajo para personas con primeras experiencias”"
No hay trabajo - Tiempo prolongado,"Comentarios que mencionan explícitamente una búsqueda de empleo extendida en el tiempo sin éxito. Incluye frases como “Estoy sin trabajo desde hace 1 mes y medio”, “hace tres años estoy buscando trabajo”"
Calidad laboral / Sueldos ,"Comentarios que expresan descontento con el salario, beneficios o relación entre remuneración y exigencias del trabajo. Incluye falta de aumentos, bajos salarios relativos a la carga laboral o beneficios insuficientes Incluye frases como “no recibí aumento en un largo tiempo”, “Poco salario y muchas exigencias”. Excluye quejas sobre estabilidad laboral, ambiente social o desempeño de otros trabajadores."
Inseguridad laboral,"Comentarios que describen la falta de estabilidad o seguridad en el empleo. Incluye referencias a contratos temporales, cambios frecuentes de condiciones, riesgo de despido o empleos precarios. Incluye menciones como “Son zafras cortas”; “Hay mucha inestabilidad, contratos cortos o condiciones que cambian todo el tiempo”. Excluye quejas sobre salario o beneficios sin mención de estabilidad, así como críticas sobre aspectos no laborales."
Empresas,"Comentarios que expresan inquietud sobre la disponibilidad de empleo derivada de la situación de empresas o del mercado. Incluye cierres de empresas, reducción de contrataciones, quiebras, recortes de personal. Excluye inseguridad individual relacionada con contrato propio, salario o condiciones laborales; críticas a compañeros, jefe o ambiente interno sin relación con la situación empresarial general."
Desalineación laboral / Insatisfacción profesional,"Comentarios que expresan incongruencia entre la formación, expectativas o intereses profesionales del trabajador y las tareas o funciones que realiza. Incluye referencia a trabajar en áreas distintas a las estudiadas, desempeñar tareas no acordes a habilidades o sentir que el puesto no permite desarrollo profesional. Palabras clave: “no se acerca a lo que estudié”, “tareas que no corresponden a mi formación”, “no puedo usar mis habilidades”, “trabajo fuera de mi área”. Excluye comentarios sobre salario, estabilidad laboral, riesgo de despido o situación empresarial."
Inseguridad Indirecta,"Comentarios que describen situaciones de inseguridad experimentadas por personas cercanas al encuestado, como familiares, vecinos o amigos. Incluye robos, violencia, rapiñas, agresiones u otras amenazas que afectan a terceros, pero son reportadas por el participante. Palabras clave: “a un vecino le robaron”, “mi hermano fue asaltado”, “en la zona hubo violencia”. Excluye experiencias personales directas del encuestado y opiniones generales sobre criminalidad sin referencia a casos cercanos."
Inseguridad Directa,"Comentarios que describen experiencias directas de violencia o delitos graves que afectan al encuestado, incluyendo rapiñas, atentados, agresiones físicas o ataques similares. Incluye referencias temporales y contextuales a la experiencia propia. Palabras clave: “me robaron”, “fui asaltado”, “me atacaron”, “ataque violento”. Excluye experiencias de terceros, violencia verbal sin agresión física, riesgos percibidos sin que haya ocurrido el hecho, o situaciones generales de criminalidad sin relación directa con el encuestado."
Miedo - General,"Comentarios que expresan temor, preocupación o sensación de inseguridad sin hacer referencia a un barrio, lugar específico, experiencia directa o situación concreta. Incluye miedo a la delincuencia, violencia o riesgos en términos generales. Palabras clave: “tengo miedo”, “me preocupa la seguridad”, “temo por la violencia”, “inseguro”."
Miedo - Situación Barrio,"Comentarios que expresan temor o preocupación por la seguridad en el barrio o entorno cercano del encuestado. Incluye referencias a robos, delincuencia, violencia recurrente o percepción de peligros constantes en la zona de residencia. Excluye experiencias directas de ataques individuales (que corresponden a “Inseguridad directa”) o indirectos sin referencia al barrio de residencia. "
Seguridad General,"Comentarios que describen la situación de seguridad de manera objetiva o general, sin vincular el miedo o experiencias a la persona, su barrio o terceros cercanos. Incluye referencias a delitos, violencia, robos o incidentes de seguridad en términos amplios o estadísticos."
Calidad - Disponiblidad Turnos,"Comentarios que hacen referencia a dificultades para conseguir citas médicas o turnos oportunos, incluyendo demoras excesivas, largas esperas o imposibilidad de acceder a la atención dentro de plazos razonables. Palabras clave: “no hay turnos”, “larga espera”, “me toca dentro de meses”, “imposible conseguir cita”. Excluye problemas de coordinación interna de servicios, falta de médicos o medicamentos, o problemas personales aislados (Circunstancial)."
Calidad - Falta Medicamentos,"Comentarios que indican que no hay disponibilidad de medicamentos necesarios para tratamientos o consultas médicas. Incluye falta de stock, medicamentos no incluidos en la cobertura o problemas en la entrega de recetas. Palabras clave: “no hay medicamento”, “falta stock”, “receta no cubierta”, “medicación no disponible”. Excluye problemas de acceso a turnos, tiempo de espera para atención, coordinación entre profesionales o dificultades administrativas personales."
Calidad - Falta Medicos ,"Comentarios que refieren a escasez de personal médico o especialistas, que genera dificultades para brindar atención o cubrir turnos. Palabras clave: “falta médico”, “no hay especialistas”, “personal insuficiente”, “cupo limitado por escasez de médicos”. Excluye problemas de disponibilidad de turnos causados por mala organización administrativa, falta de medicamentos o problemas personales aislados."
Calidad - General,"Comentarios que evalúan la calidad del servicio de salud de manera global, sin referirse a un problema específico de turnos, medicamentos o disponibilidad de médicos. Incluye percepciones sobre eficiencia, organización, coordinación o atención en términos generales. Palabras clave: “servicio deficiente”, “mala calidad”, “sistema caótico”, “atención ineficiente”. Excluye comentarios específicos y problemas circunstanciales individuales (Circunstancial)."
Costos ,"Comentarios que expresan dificultades económicas para acceder a tratamientos médicos, procedimientos o medicamentos debido a su costo. Incluye referencias a falta de cobertura, precios elevados, imposibilidad de pagar y gastos asociados al cuidado de la salud. Palabras clave: “no puedo pagar”, “muy caro”, “sin cobertura”, “alto costo”, “gasto inaccesible”. Excluye problemas de disponibilidad de turnos, falta de médicos, falta de medicamentos por stock o problemas administrativos no relacionados con el costo."
Transporte Publico – Calidad / Precio,"Comentarios que expresan insatisfacción con el precio del transporte público en relación al servicio ofrecido, señalando que es elevado o injustificado. Palabras clave: “boleto caro”, “precio elevado”. Excluye problemas de frecuencia, disponibilidad, tránsito o infraestructura."
Transporte Publico – Disponibilidad y frecuencia,"Comentarios que describen dificultades para acceder al transporte en horarios adecuados, frecuencia insuficiente, falta de líneas o buses saturados. Palabras clave: “no pasan a horario”, “faltan líneas”, “ómnibus llenos”, “esperas largas”, “horarios irregulares”. Excluye problemas de costo, infraestructura o tránsito en general."
Tránsito y circulación,"Comentarios que describen problemas generales de movilidad vehicular, congestión, cortes de calles, caos en la circulación, descoordinación o dificultades de flujo. Palabras clave: “tránsito caótico”, “cortes de calles”, “congestión”, “flujo interrumpido”. Excluye transporte público (precio, frecuencia, líneas), infraestructura vial. "
Infraestructura y seguridad vial,"Comentarios que mencionan la calidad de calles, señalización, veredas, estacionamientos, semáforos, ciclovías y seguridad vial. Palabras clave: “falta de veredas”, “estacionamiento limitado”, “ciclovías mal ubicadas”, “seguridad vial”. Excluye problemas de transporte público, frecuencia, costos, congestión general o problemas circunstanciales individuales."
Circunstancial,"Comentarios que describen problemas personales altamente específicos, que afectan únicamente al encuestado o a su entorno inmediato y no representan tendencias generales ni fallas estructurales. Incluye conflictos interpersonales, situaciones de salud únicas, dificultades administrativas o de acceso que no se repiten para otros"
Sin Problemas,"Comentarios que indiquen explícitamente que el autor no ha experimentado problemas en la semana, en cualquier área (empleo, transporte, seguridad, salud, etc.). Palabras clave: ningún problema, todo bien, sin inconvenientes, ninguna dificultad, normal."
Sin Clasificar,"Comentarios que no encajan en ninguna de las categorías existentes (empleo, salud, transporte, seguridad, educación, cuidados, Circunstancial, etc.), ya sea por ser ambiguos, demasiado generales, irrelevantes o de un tema completamente nuevo. Este código no interpreta ni asume contexto, solo marca comentarios como “sin Clasificar” para revisión humana posterior. Se aplica por exclusión de otras categorías. Excluye comentarios que claramente encajen en códigos existentes."
