rowid,motivo
1,responsabilidad_individual
2,deber_estado
3,deber_estado
4,responsabilidad_individual
5,responsabilidad_individual
6,responsabilidad_individual
7,deber_estado
8,responsabilidad_individual
9,responsabilidad_individual
10,responsabilidad_individual
11,responsabilidad_individual
12,responsabilidad_individual
13,ineficiencia
14,responsabilidad_individual
15,deber_estado
16,solidaridad
17,solidaridad
18,responsabilidad_individual
19,responsabilidad_individual
20,situacion_economica
21,responsabilidad_individual
22,situacion_economica
23,situacion_economica
24,responsabilidad_individual
25,responsabilidad_individual
26,responsabilidad_individual
27,responsabilidad_individual
28,responsabilidad_individual
29,situacion_economica
30,responsabilidad_individual
31,responsabilidad_individual
32,responsabilidad_individual
33,responsabilidad_individual
34,responsabilidad_individual
35,deber_estado
36,responsabilidad_individual
37,responsabilidad_individual
38,responsabilidad_individual
39,responsabilidad_individual
40,responsabilidad_individual
41,situacion_economica
42,ineficiencia
43,ineficiencia
44,responsabilidad_individual
45,deber_estado
46,responsabilidad_individual
47,responsabilidad_individual
48,responsabilidad_individual
49,solidaridad
50,responsabilidad_individual
51,ineficiencia
52,responsabilidad_individual
53,responsabilidad_individual
54,responsabilidad_individual
55,responsabilidad_individual
56,responsabilidad_individual
57,situacion_economica
58,responsabilidad_individual
59,responsabilidad_individual
60,responsabilidad_individual
61,responsabilidad_individual
62,responsabilidad_individual
63,ineficiencia
64,responsabilidad_individual
65,responsabilidad_individual
66,situacion_economica
67,situacion_economica
68,deber_estado
69,deber_estado
70,responsabilidad_individual
71,situacion_economica
72,responsabilidad_individual
73,responsabilidad_individual
74,responsabilidad_individual
75,responsabilidad_individual
76,responsabilidad_individual
77,responsabilidad_individual
78,ineficiencia
79,responsabilidad_individual
80,responsabilidad_individual
81,responsabilidad_individual
82,solidaridad
83,responsabilidad_individual
84,responsabilidad_individual
85,responsabilidad_individual
86,responsabilidad_individual
87,ineficiencia
88,responsabilidad_individual
89,deber_estado
90,deber_estado
91,responsabilidad_individual
92,responsabilidad_individual
93,deber_estado
94,responsabilidad_individual
95,situacion_economica
96,responsabilidad_individual
97,responsabilidad_individual
98,responsabilidad_individual
99,responsabilidad_individual
100,responsabilidad_individual
101,responsabilidad_individual
102,ineficiencia
103,responsabilidad_individual
104,responsabilidad_individual
105,deber_estado
106,deber_estado
107,situacion_economica
108,deber_estado
109,responsabilidad_individual
110,deber_estado
111,responsabilidad_individual
112,responsabilidad_individual
113,responsabilidad_individual
114,responsabilidad_individual
115,responsabilidad_individual
116,situacion_economica
117,deber_estado
118,ineficiencia
119,responsabilidad_individual
