rowid,sentimiento
1,POS
2,POS
3,NEG
4,POS
5,POS
6,NEG
7,POS
8,POS
9,POS
10,NEU
11,POS
12,NEG
13,NEG
14,NEG
15,NEG
16,NEG
17,NEG
18,NEG
19,NEG
20,NEG
21,POS
22,POS
23,POS
24,POS
25,NEG
26,NEU
27,NEU
28,NEU
29,NEG
30,POS
31,NEG
32,POS
33,NEG
34,POS
35,NEG
36,NEG
37,NEG
38,NEG
39,NEG
40,NEU
41,POS
42,NEG
43,POS
44,NEG
45,NEG
46,NEU
47,NEG
48,POS
49,NEG
50,POS
51,NEG
52,NEG
53,NEG
54,NEG
55,NEG
56,POS
57,NEG
58,NEG
59,NEU
60,NEG
61,NEU
62,NEG
63,POS
64,NEG
65,NEG
66,NEU
67,POS
68,NEG
69,NEG
70,NEG
71,POS
72,NEG
73,POS
74,NEG
75,NEG
76,NEG
77,NEU
78,POS
79,NEG
80,NEG
81,POS
82,NEU
83,NEG
84,NEG
85,NEU
86,POS
87,POS
88,NEG
89,NEG
90,NEG
91,NEU
92,NEG
93,NEU
94,NEU
95,NEU
96,NEG
97,NEG
98,NEG
99,NEU
100,NEG
101,NEU
102,NEG
103,NEG
104,NEG
105,NEG
106,POS
107,POS
108,POS
109,NEG
110,NEG
111,POS
112,NEG
113,NEU
114,NEG
