numero,caso_id,q1,codigo_q1,codigo_q1_rev,q2,codigo_q2,codigo_q2_rev,q3,codigo_q3,codigo_q3_rev,q5,codigo_q5,codigo_q5_rev,q6,codigo_q6,codigo_q6_rev,q7,codigo_q7,codigo_q7_rev,q8,codigo_q8,codigo_q8_rev,q9,codigo_q9,codigo_q9_rev
59893758710,421146482,Muy mala ! Falta trabajo las empresas no están invirtiendo en el país,economia_costo_de_vida; estancamiento,NA,Buena vida sería poder comprar las necesidades diarias sin contar el dinero todos los días! nPoder viajar de ves en cuando ! Tener una casa propia auto y no ser un esclavo del trabajo para disfrutar de la familia,tranquilidad_economica; vivienda_digna; vinculos_y_familia,NA,Actualmente trabajo el doble para poder terminar proyectos q a futuro darán sus frutos ! Tengo poco tiempo libre y no salgo demasiado casa ya q trabajo en ella,barrera_de_tiempo; trabajo_o_estudio,NA,Porque es lo q me gustaría !,respuesta_tautologica,NA,Sería importante q priorizaran a la clase obrera y no al vago q vive de planes,reducir_desigualdades; garantizar_derechos_sociales,NA,Creo que se encarga de dar planes a la gente q no quiere salir adelante y se olvida del q se levanta muy temprano para trabajar,ausente_o_insuficiente; no_clasificable,NA,En el recibo de la luz q actualmente pago 8 mil pesos mensuales y los q tienen planes pagan miserias,diferencias_economicas_e_ingresos; pobreza,NA,Q no priorizan a la clase obrera,distribucion_de_riqueza_y_poder; empleo_y_mercado_laboral,NA
59897302504,421147357,Muy mal,deterioro_retroceso; inseguridad; desigualdad_pobreza,NA,Para mi sería no depender del estado del tiempo para trabajar llegar a fin de mes sin sobresalto no estar contando monedas todo el tiempo,tranquilidad_economica; trabajo_e_ingreso_suficiente,NA,Me tomo una hora por día para caminar como gustarme son las termas en invierno y la playa en verano,naturaleza_y_aire_libre; deporte_y_ejercicio,NA,"Pensé que solo me dabas una opción, o sea, tenía que elegir una entre las tres opciones. Si fuera por mí, no elegiría ninguna de las tres, porque no me parece, no estoy de acuerdo con ninguna de las tres.",no_clasificable,NA,"Darnos empleo, darnos seguridad, estabilidad, eso. No mantenernos, darnos trabajo, dignidad, cuidado de que nos cuiden de la gente mala, qué sé yo, tanta maldad que hay por ahí.",seguridad_y_justicia; garantizar_derechos_sociales; reducir_desigualdades,NA,"Y mencionando las otras tres cosas, no hay trabajo, aunque dicen que lo hay, pero yo no lo veo, yo no tengo trabajo, la inseguridad, antes decían no podés salir a las 8 de la noche al almacén y ahora no podés salir ni a las 2 de la tarde porque no sabés, son balaceras por todos lados, o sea, tenés inseguridad, falta de trabajo, también la gente, falta de compromiso de la gente, pero los políticos se cuidan ellos y los pobres solo le vienen a buscar el voto nada más.",ausente_o_insuficiente; no_clasificable,NA,El país está muy mal en eso.,injusticia; diferencias_economicas_e_ingresos,NA,"Cuando escucho la palabra desigualdad, lo que se me viene a la mente es lo que, lamentablemente, este gobierno piensa, que los viejos no sirven para nada, pero trabajan toda la vida para darles de comer a todos estos niños que hoy los padres tienen hijos para poder vivir del Estado. Y eso es una desigualdad, porque yo soy vieja y sé que no me voy a jubilar porque trabajé toda la vida en negro, no voy a tener una jubilación, pero, por ejemplo, mi madre trabajó toda su vida y cuando se jubiló se murió, porque antes te morías más joven, no sé. En eso me parece que hay mucha desigualdad. Le dan prioridades a cosas que no deberían darle.",ingresos_salarios_jubilaciones; genero,NA
59898738041,421149518,Bien  con mucho camino por resolver  en lo social  educación  equidad (económica  de género  laboral  etc.)  la clase política  muchas veces lejos de las necesidades de la población  en favor de intereses particulares,desigualdad_pobreza; economia_costo_de_vida; perdida_de_valores_convivencia,NA,Tener desde el nacimiento   acceso a condiciones dignas (educación  salud  vivienda  seguridad  transporte) para llegado el momento y en base a condiciones propias  desarrollar una vida provechosa,autonomia_y_proyecto_propio; vivienda_digna; educacion,NA,Por mi condición física  estoy mucho tiempo en casa  me gustaría tener un poco más de vida social  hacer ejercicio  alguna actividad socio-cultural asistir a juegos deportivos  y viajar,descanso; deporte_y_ejercicio; salir_pasear_viajar,NA,Considero que las tres no son privativas de las otras y son buenas las tres pero pedían una?,las_tres_van_juntas; bienestar_y_calidad_de_vida,NA,Me considero estatista  no reniego del emprendimiento privado  pero un país controlado por el estado  por personas capacitadas y honradas  seríamos mejores,estado_minimo; seguridad_y_justicia; administrar_y_organizar,NA,El estado uruguayo es grande y demasiado burocrático  le cuesta  implementar cambios  que agilicen la gestión  tanto así que en materia impositiva y seguro social se encarecen  y genera evasión  provocando el alto costo del estado  en contraposición la población exige (con razón)  servicios esenciales en condiciones  que provee el estado,sobredimensionado_y_burocratico; gasto_excesivo; no_hace_cumplir_la_ley,NA,En la segunda respuesta  estaría contestada,no_clasificable,NA,La más notoria es la económica  y también la herencia de apellidos que se repiten en los lugares donde se corta el bacalao,distribucion_de_riqueza_y_poder; etnico_racial,NA
59899054090,421146373,El país atraviesa un proceso de deterioro social y económico  marcado por la ccreciente inseguridad  la falta de respuestas efectivas por parte del gobierno ante las necesidades de la ciudadanía y un contexto económico cada vez más desfavorable.,deterioro_retroceso; inseguridad; economia_costo_de_vida,NA,Tener una buena vida en mi opinión significa: Tener seguridad y estabilidad  tanto personal como económica.nContar con vínculos afectivos saludables  familia  amigos y personas que nos quieran y acompañen.nTener salud física y emocional y poder cuidar de uno mismo.nRealizar un trabajo o actividad que nos permita desarrollarnos y sentir que lo que hacemos tiene valor.n Tener libertad para tomar decisiones sobre nuestra propia vida.nTener proyectos y objetivos aunque sean pequeños. nVivir en una sociedad donde exista seguridad  justicia y oportunidades.,autonomia_y_proyecto_propio; seguridad; trabajo_e_ingreso_suficiente,NA,En mi tiempo libre dedico tiempo a mi familia y a las responsabilidades del hogar  a leer  y mirar películas.nMe gustaría tener más tiempo para viajar  conocer nuevos lugares.,familia_y_vinculos; lectura; salir_pasear_viajar,NA,Elegí esa opción porque una economía sólida y diversificada genera empleo  brinda estabilidad  mejora las oportunidades de la población y permite al país crecer de manera sostenible  incluso frente a períodos de crisis.,economia_produccion_empleo; sostenibilidad_ambiental; derechos_y_oportunidades,NA,Considero que el Estado es importante para garantizar el bienestar y los derechos de los ciudadanos y para organizar el funcionamiento de la sociedad. Entre sus principales funciones están brindar seguridad y justicia  garantizar el acceso a la educación y la salud  construir y mantener infraestructura  proteger a las personas más vulnerables  generar condiciones para el desarrollo económico y hacer cumplir las leyes. También debe administrar los recursos públicos de manera responsable y responder a las necesidades de la población.,seguridad_y_justicia; garantizar_derechos_sociales; reducir_desigualdades,NA,Considero que el Estado uruguayo ocupa un lugar fundamental en la sociedad. Se encarga de brindar servicios esenciales como la educación  la salud  la protección social  además de administrar los recursos públicos  establecer y hacer cumplir las leyes y desarrollar obras de infraestructura. nSin embargo  considero que  existen dificultades para responder de manera eficaz a las necesidades de la población  especialmente en áreas como la seguridad  el empleo y el desarrollo económico.,presente_y_protector; valoracion_ambivalente,NA,Cuando escucho la palabra desigualdad  pienso en las diferencias de oportunidades y condiciones de vida entre las personas. Por ejemplo  en quienes tienen mayores dificultades para acceder a una buena educación  atención médica  empleo  vivienda o una alimentación adecuada  mientras que otras personas tienen más posibilidades.,oportunidades_y_acceso; diferencias_economicas_e_ingresos,NA,En Uruguay me parecen desiguales  principalmente  las oportunidades de acceso a una buena educación  a la salud  al empleo y a una vivienda digna. También existen diferencias importantes entre Montevideo y el interior del país  especialmente en cuanto a oportunidades laborales  servicios y acceso a determinadas actividades. nConsidero que también hay desigualdad económica  pero  el asistencialismo que brinda el Estado debería de tratarse de oportunidades de empleo  y no de recibir dinero sin nada a cambio.,territorial; empleo_y_mercado_laboral; acceso_a_la_educacion,NA
59899730865,421271741,Veo un paisaje con un gobierno que trata de hacer cosas para favorecer a su población pero que la oposición y yo diría hasta gobiernos de otros países se encargan de poner palos en la rueda. Hay un problema enorme que es la droga que lleva a situaciones de inseguridad  abandono de estudios  vivir en la calle etc. En cuanto a la economía parece estar estable llamando la atención el gran desarrollo inmobiliario con construcciones prácticamente en todos los barrios sobre todo en Montevideo. En suma lo veo bien al país en cuanto a lo económico.,inseguridad; economia_costo_de_vida; avances_positivos,NA,Para mí sería tener un trabajo que asegure buen ingreso económico o por lo menos suficiente para mantener una familia. Que los hijos puedan educarse y tener asistencia médica adecuada. Tener acceso a una vivienda con los servicios correspondientes  con transporte etc. si es posible un vehículo para trasladar a la familia y también tener algún recurso para diversión y entretenimiento. Es fundamental tener seguridad al salir a la calle. Debería existir un ingreso mínimo para los hogares tanto de trabajadores como para jubilados bastante superior al actual.,trabajo_e_ingreso_suficiente; vivienda_digna; educacion,NA,Disfrutar con la familia  hijos nietos etc. ir a la casa de la playa o al interior del país  termas etc. Me gustaría hacer mas viajes al exterior  mas actividades físicas y salidas a comer  teatros  festivales.,familia_y_vinculos; salir_pasear_viajar; naturaleza_y_aire_libre,NA,1,no_clasificable,NA,Porque me parece que en este punto tambien de alguna manera están incluidos los otros dos.,no_clasificable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59899679715,421146448,Preocupado por la situación de polarización internacional. Cómo esto nos puede afectar negativamente  y no veo al sistema político  y sociedad en general debatiendo estos temas y otros temas de gran importancia.,perdida_de_valores_convivencia; estancamiento,NA,Tener libertad plena  estudio  trabajo y vivienda. Poder tener un sueldo digno que me permita disfrutar (vacaciones  espectáculos artísticos  salidas ec familia y amigos)  para mí y el resto de la población.,trabajo_e_ingreso_suficiente; tiempo_libre_y_disfrute; vivienda_digna,NA,Descansar  tareas en mi casa  pasear. Me gustaría poder ver más espectáculos artísticos  viajar y estudiar.,descanso; tareas_domesticas_y_cuidados; salir_pasear_viajar,NA,En el entendido de que el desarrollo tiene que beneficiar a toda la poblacion.,igualdad_y_distribucion; bienestar_y_calidad_de_vida,NA,Entre muchas  velar por las personas más vulnerables  ser motor del desarrollo y el que vela por el cuidado de los derechos  seguridad  bienestar de su población.,reducir_desigualdades; garantizar_derechos_sociales; seguridad_y_justicia,NA,Un estado lento  buricrático  y poco efectivo  le cuesta mucho los cambios. El estado es fundamental en la vida de un país y su gente. Al encargarse de muchas cosas  algunas  velar por la seguridad  bienestar  salud  rducacion y progreso.,sobredimensionado_y_burocratico; ineficiente_o_mal_gestionado; presente_y_protector,NA,En un niño viviendo en un asentamiento  al que se le bulneramos todos sus derechos y a una persona millonaria  procesada por una estafa multimillonaria  cumplir su condena en un lujoso apartamento de Punta del Este y no pagando los gastos millonarios de ese apartamento.,exclusion_y_marginacion; diferencias_economicas_e_ingresos; injusticia,NA,Acceso a la justicia  acceso a una educación de calidad  el aporte porcentual que hacen los trabajadores en comparacion con las ganancias de los grandes empresarias  el tiempo descanzo y disfrute que puedan tener los trabajadores de menos ingresos.,acceso_a_la_educacion; ingresos_salarios_jubilaciones; empleo_y_mercado_laboral,NA
59899859271,421147293,"Hola, en Uruguay de hoy lo encuentro con mucha delincuencia, todo al revés, muy sucio el país, principalmente la delincuencia, las bocas, las muertes, los asesinatos, se ve que se mueve muy lento todo.",inseguridad; estancamiento,NA,"Bueno, para mí la buena vida, yo soy jubilada, es poder llegar a fin de mes con las cuentas pagas, tener un plato de comida, un techo en mi cabeza, poner sobre la almohada mi mente en paz y cada tanto poder hacer un viaje cortito a las termas, no más de acá, no pido mucho, pero más que nada vivir en paz.",tranquilidad_economica; necesidades_basicas_cubiertas; seguridad,NA,"Bueno, mi tiempo libre, yo trabajo a pesar de ser jubilada, tengo el bien emocionante una vez por semana, trato de estar en mi casa con mi esposo y los fines de semana ir a una iglesia cristiana y bueno, salimos muy poco.",familia_y_vinculos; trabajo_o_estudio; no_clasificable,NA,Porque existen bajos niveles de desigualdad.,igualdad_y_distribucion,NA,"Las funciones serían combatir la delincuencia, cosa que era hace poco, pero sería una de las funciones que priorizo.",seguridad_y_justicia; reducir_desigualdades,NA,"Para mí ocuparía ya como el quinto lugar porque obviamente que falta mucho, mucho, mucho. Y me vuelvo a aferrar a la delincuencia ya que yo vivo en un barrio estilo zona roja y hay cosas que nunca salen a la luz.",ausente_o_insuficiente; no_clasificable,NA,"Y desigualdad es que por ahí una persona necesita una operación y clase media de 70.000 pesos, como la vista de un ojo, una sociedad, y con un mínimo nacional prácticamente la sociedad te lo pide y no lo podemos hacer. Sin embargo, la otra parte sí se la puede hacer porque obviamente tiene una mejor calidad de vida, quizás que hayan estudiado, en fin, y nosotros somos empleados jubilados por el mínimo nacional por algún trabajo de obrero normal.",diferencias_economicas_e_ingresos; exclusion_y_marginacion; injusticia,NA,Yo creo que en Uruguay yo pienso que la desigualdad es el rico y el pobre.,distribucion_de_riqueza_y_poder; ingresos_salarios_jubilaciones,NA
59899664655,421167634,Nuestro país cuenta con una de las democracias más firmes y estables del mundo.Hemos tenido avances fundamentales en materia de derechos humanos ( derechos sexuales.y reproductivos) y en leyes de genero y diversidad sexual .Sin embargo  sigue siendo un país con mucha pobreza y marginación . La seguridad es preocupante y el costo de vida es alto. La derecha y organizaciones antiderechos han crecido mucho,avances_positivos; desigualdad_pobreza; inseguridad,NA,Buenas vida sería poder  contar con salarios justos  trabajo estable y bien remunerado. De la mano de esto  contar con un Estado que respete y garantice los derechos de todas y todos,trabajo_e_ingreso_suficiente; seguridad; no_clasificable,NA,Tengo poco tiempo libre. En el   descanso la mayor parte del tiempo. Con mayor frecuencia trabajo y mucho ( demasiado). Que me gustaría hacer? Tener tiempo libre para hacer cursos ( fotografía   pintura  etc),trabajo_o_estudio; descanso; barrera_de_tiempo,NA,"Si bien en las tres encuentro elementos que podría tener en cuenta a la hora de responder, es la que me parece la mejor respuesta.",respuesta_tautologica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59898597697,421159409,Bastante mal. Existe una importante desigualdad. Los salarios son muy bajos para el valor de los productos y alquileres. Sumado a esto la violencia e inseguridad lamentablemente son noticia todos los días.,desigualdad_pobreza; economia_costo_de_vida; inseguridad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59898750231,421146621,¿ Tengo una semana para responder ?,no_clasificable,NA,Poder tener cubiertas las necesidades de salud nTener un trabajo digno y de autorrealización nPoder brindarle a los hijos una buena educación.,trabajo_e_ingreso_suficiente; educacion; salud,NA,Trato de disfrutarlonPasar con los amigos  leer  escuchar música  hacer pequeñas reparaciones (eléctricas)nnMe gustaría tocar la guitarra,familia_y_vinculos; lectura; tareas_domesticas_y_cuidados,NA,Porque también piensa en el futuro,sostenibilidad_ambiental; igualdad_y_distribucion,NA,El Estado debe encargarse de reducir la desigualdad y mantener el equilibrio,reducir_desigualdades; seguridad_y_justicia,NA,Al Estado uruguayo se le exige cada vez más y creemos que tiene que solucionarlo todo,ausente_o_insuficiente; no_clasificable,NA,Pienso en niños mal comidos  enfermos  y en Sres. paseando en autos de lujo,infancia_y_adolescencia; diferencias_economicas_e_ingresos,NA,Las que mencioné antes,no_clasificable,NA
