fila,pregunta,codigos
1,q1,no_clasificable
2,q1,desigualdad_pobreza; estabilidad_valorada
3,q1,no_clasificable
4,q1,desigualdad_pobreza; servicios_publicos_deficientes; estabilidad_valorada
5,q1,inseguridad; servicios_publicos_deficientes; economia_costo_de_vida
6,q1,deterioro_retroceso; inseguridad; desigualdad_pobreza
7,q1,deterioro_retroceso; perdida_de_valores_convivencia
8,q1,desigualdad_pobreza; perdida_de_valores_convivencia; estabilidad_valorada
9,q1,avances_positivos; estabilidad_valorada
10,q1,no_clasificable
11,q1,inseguridad
12,q1,perdida_de_valores_convivencia; estancamiento
13,q1,estancamiento; inseguridad; perdida_de_valores_convivencia
14,q1,economia_costo_de_vida; desigualdad_pobreza
15,q1,perdida_de_valores_convivencia; economia_costo_de_vida; desigualdad_pobreza
16,q1,perdida_de_valores_convivencia; estancamiento
17,q1,no_clasificable
18,q1,economia_costo_de_vida; servicios_publicos_deficientes; perdida_de_valores_convivencia
19,q1,deterioro_retroceso; servicios_publicos_deficientes; economia_costo_de_vida
20,q1,estancamiento; deterioro_retroceso
21,q1,economia_costo_de_vida; desigualdad_pobreza
22,q1,inseguridad; economia_costo_de_vida; deterioro_retroceso
23,q1,desigualdad_pobreza; economia_costo_de_vida; estancamiento
24,q1,desigualdad_pobreza; estancamiento
25,q1,economia_costo_de_vida; inseguridad; desigualdad_pobreza
26,q1,inseguridad; economia_costo_de_vida
27,q1,inseguridad; economia_costo_de_vida; perdida_de_valores_convivencia
28,q1,economia_costo_de_vida; estancamiento
29,q1,desigualdad_pobreza; inseguridad; economia_costo_de_vida
30,q1,no_clasificable
31,q1,inseguridad; deterioro_retroceso; perdida_de_valores_convivencia
32,q1,no_clasificable
33,q1,inseguridad; economia_costo_de_vida; desigualdad_pobreza
34,q1,inseguridad; desigualdad_pobreza; economia_costo_de_vida
35,q1,estabilidad_valorada; inseguridad
36,q1,inseguridad; desigualdad_pobreza; economia_costo_de_vida
37,q1,perdida_de_valores_convivencia; inseguridad
38,q1,economia_costo_de_vida; servicios_publicos_deficientes; deterioro_retroceso
39,q1,inseguridad
40,q1,desigualdad_pobreza; economia_costo_de_vida
41,q1,no_clasificable
42,q1,inseguridad; economia_costo_de_vida; desigualdad_pobreza
43,q1,economia_costo_de_vida; desigualdad_pobreza; inseguridad
44,q1,inseguridad; economia_costo_de_vida; servicios_publicos_deficientes
45,q1,desigualdad_pobreza; inseguridad; perdida_de_valores_convivencia
46,q1,economia_costo_de_vida; inseguridad; avances_positivos
47,q1,inseguridad; desigualdad_pobreza; deterioro_retroceso
48,q1,inseguridad; economia_costo_de_vida; desigualdad_pobreza
49,q1,estancamiento; economia_costo_de_vida
50,q1,deterioro_retroceso; inseguridad; desigualdad_pobreza
51,q1,deterioro_retroceso; desigualdad_pobreza
52,q1,perdida_de_valores_convivencia; desigualdad_pobreza; deterioro_retroceso
53,q1,inseguridad; economia_costo_de_vida; desigualdad_pobreza
54,q1,deterioro_retroceso; inseguridad; economia_costo_de_vida
55,q1,deterioro_retroceso; estancamiento
56,q1,estancamiento; inseguridad
57,q1,inseguridad; estancamiento
58,q1,economia_costo_de_vida; desigualdad_pobreza
59,q1,no_clasificable
60,q1,desigualdad_pobreza; servicios_publicos_deficientes; inseguridad
61,q1,estancamiento; perdida_de_valores_convivencia
62,q1,desigualdad_pobreza; economia_costo_de_vida; servicios_publicos_deficientes
63,q1,estancamiento; economia_costo_de_vida
64,q1,deterioro_retroceso; inseguridad; desigualdad_pobreza
65,q1,no_clasificable
66,q1,estancamiento; economia_costo_de_vida
67,q1,inseguridad; desigualdad_pobreza; economia_costo_de_vida
