fila,pregunta,grupo,texto
1,q1,__todos__,Mal
2,q1,__todos__,Bien en términos generales. Lo preocupante es la cantidad de gente en situación de calle
3,q1,__todos__,tibio
4,q1,__todos__,Económica  politica y socialmente estable respecto a la región y al mundo. Sin embrago  con fuertes desafíos en el porvenir. Principalmente en calidad educativa  marginalidad  seguridad y pobreza infantil
5,q1,__todos__,Mal  en lo que respecta a seguridad horrible  educación mal  salud mal  economía maso
6,q1,__todos__,Pienso que el pais esta en un notable declive respecto al periodo anterior. La inseguridad aumento de forma evidente  la cantidad de gente en situaciones de calle aumento de forma exponencial. La suciedad es un tema muy problemático  es de no creer que en calles céntricas de las ciudades “importantes” como Montevideo o Punta del este haya basura tirada por todos lados. Mas aun en Montevideo  donde caminar por la vereda es equivalente a caminar en el basurero local. Han habido aumentos importantes en varios sectores como es el combustible  las obras publicas han disminuido  la construccion de infraestructura se pasa por alto. El desempleo ha crecido  en parte culpable de los impuestos disuasivos que el estado ha implementado ultimamente que ahuyentan inversionistas y empresarios. El mismo trabajador tiene una carga tributaria mas elevada. Algunas modificaciones como el nuevo sistema de importación del correo es desastroso.
7,q1,__todos__,Se nota cierto deterioro en la convivencia social nEso repercute de forma negativa en el resto de los aspectos de la sociedad
8,q1,__todos__,Lo veo cada vez más desigual. Y con más desintegración solcial. nLa educación pública sobre todo en Montevideo es de muy mala calidad. Si uno anda por la calle se observa muchas personas en situación de calle y mucha marginalidad. Y por otro lado los shopping explotan y la gente compra autos y celulares de 1000 dólares como si nada. nCreo que sigue teniendo una imagen estable para el exterior  pero ya no están fíneme la etapa de lugar seguro
9,q1,__todos__,Yo creo que se avanzado bastante en política pública . Han país mejor que hace 10 por ejemplo
10,q1,__todos__,Considero que el país está atravesando muchos desafíos que imponen la realidad global.
11,q1,__todos__,Mucha Inseguridad
12,q1,__todos__,Raro  la gente está perdida  no tienen rumbo y no hablo solo del gobierno. Se perdieron los valores básicos que antes se tenía
13,q1,__todos__,Veo al uruguayo de hoy como un país bastante estático  en el que a pesar del paso del tiempo no se producen cambios significativos. Todos los problemas se mantienen iguales y cuesta generar transformaciones continuas. También considero que la sociedad está más polarizada y violenta tanto en términos de inseguridad como en la forma que las personas se relacionan
14,q1,__todos__,El Uruguay de hoy atraviesa un momento interesante  marcado por un contraste de estabilidad histórica frente a retos económicos y sociales que están muy presentes en el día a día.
15,q1,__todos__,Más o menos. Pienso que se están tomando posturas políticas y diplomáticas que benefician a EEUU y sus aliados estratégicos que en nada benefician al Uruguay y que  en mi opinión  van en contra de todo lo que esperaba del FA como el tema de mendigar a EEUU deportados ignorando y no rechazando las políticas del ICE  los vuelos de Orsi en el portaaviones  la visita a la intendencia de canelones de los israelíes por intereses comunes o la falta de posturas firmes con respecto a Palestina. Con respecto a la educación me parece mal el intento del gobierno por regalar los títulos a profesores no recibidos con 8 años de trabajo teniendo programas como el de apoyo al egreso que permite cursar las materias restantes para el egreso a más de 3000 profesores sin regalar el título  solo cursando y rindiendo pruebas.
16,q1,__todos__,"Diría que es confuso, me parece que no es claro para dónde vamos y que hay como una especie de incertidumbre generalizada y pérdida de confianza."
17,q1,__todos__,Muy complejo
