pregunta,etiqueta,descripcion
Q1,estancamiento,"País detenido o sin cambios significativos: los mismos problemas de siempre, falta de rumbo."
Q1,deterioro_retroceso,Percepción de declive o empeoramiento respecto de un pasado reciente mejor.
Q1,inseguridad,"El delito, la violencia o el narcotráfico como rasgo dominante del país actual."
Q1,desigualdad_pobreza,"Desigualdad social, pobreza, gente en situación de calle o marginación."
Q1,servicios_publicos_deficientes,"Deterioro de la educación, la salud u otros servicios del Estado."
Q1,economia_costo_de_vida,"Costo de vida, salarios, empleo, impuestos o situación económica de los hogares."
Q1,perdida_de_valores_convivencia,"Deterioro de la convivencia, pérdida de valores, desintegración o falta de solidaridad."
Q1,estabilidad_valorada,"Reconoce estabilidad democrática, institucional o económica, en general comparando con la región."
Q1,avances_positivos,Identifica mejoras concretas o avances en políticas públicas.
Q1,no_clasificable,"Respuesta vacía, evasiva, tautológica o que no responde la pregunta."
Q2,necesidades_basicas_cubiertas,"Tener cubierto lo básico: comida, higiene, servicios, lo mínimo para vivir."
Q2,vivienda_digna,Acceso a una vivienda adecuada como condición de la buena vida.
Q2,trabajo_e_ingreso_suficiente,Trabajo estable y un sueldo que alcance para sostenerse o sostener a la familia.
Q2,tranquilidad_economica,"Llegar a fin de mes sin angustia, no tener que contar los pesos."
Q2,salud,Tener salud o acceso a atención sanitaria.
Q2,educacion,"Acceso a educación de calidad, para sí o para los hijos."
Q2,vinculos_y_familia,"Compartir con la familia, los afectos o la comunidad."
Q2,tiempo_libre_y_disfrute,"Poder descansar, disfrutar, tener ocio o hacer lo que le gusta."
Q2,seguridad,"Vivir sin miedo, seguridad pública o social."
Q2,autonomia_y_proyecto_propio,"Poder elegir, crecer, desarrollarse o cumplir metas propias."
Q2,no_clasificable,"Respuesta vacía, evasiva, tautológica o que no responde la pregunta."
Q3,deporte_y_ejercicio,"Practicar deporte, gimnasio o actividad física."
Q3,pantallas_series_redes,"Ver series, televisión, YouTube o usar redes sociales."
Q3,lectura,Leer libros u otro material.
Q3,familia_y_vinculos,"Pasar tiempo con hijos, pareja, familia o amigos."
Q3,descanso,"Dormir, descansar, no hacer nada."
Q3,naturaleza_y_aire_libre,"Estar al aire libre, playa, campo, caminar."
Q3,salir_pasear_viajar,"Salir a pasear, comer afuera, viajar o conocer lugares."
Q3,tareas_domesticas_y_cuidados,El tiempo libre se ocupa en tareas de la casa o en cuidar a otros.
Q3,trabajo_o_estudio,Usa el tiempo libre para trabajar o estudiar.
Q3,barrera_economica,Menciona que no puede hacer lo que quisiera por falta de dinero.
Q3,barrera_de_tiempo,Menciona que no puede hacer lo que quisiera por falta de tiempo.
Q3,no_clasificable,"Respuesta vacía, evasiva, tautológica o que no responde la pregunta."
Q5,bienestar_y_calidad_de_vida,Justifica por el bienestar de las personas o su calidad de vida.
Q5,igualdad_y_distribucion,"Justifica por la igualdad, la justicia distributiva o que el desarrollo llegue a todos."
Q5,economia_produccion_empleo,"Justifica por el funcionamiento económico, la producción o el empleo."
Q5,sostenibilidad_ambiental,Justifica por el cuidado del medio ambiente o el futuro de las próximas generaciones.
Q5,derechos_y_oportunidades,Justifica por el acceso a derechos u oportunidades.
Q5,rol_del_estado,Justifica por lo que el Estado o el gobierno debería garantizar.
Q5,las_tres_van_juntas,Sostiene que las tres opciones son inseparables o complementarias.
Q5,respuesta_tautologica,"Repite la opción elegida o dice que es la que más le convence, sin dar razón."
Q5,no_clasificable,"Respuesta vacía, evasiva o que no responde la pregunta."
Q6,garantizar_derechos_sociales,"Asegurar salud, educación, vivienda o seguridad social."
Q6,reducir_desigualdades,"Redistribuir, proteger a los más vulnerables, achicar brechas."
Q6,seguridad_y_justicia,"Seguridad pública, policía, justicia, resolución de conflictos."
