row,id,pregunta,respuesta,columna_codigo,codigo_anterior,codigo_corregido
3,2,q2,Los niños siempre deben ser prioridad,codigo_q2,INFANCIA-VULNERABLE,INFANCIA-FUTURO
20,19,q2,Es muy importante eso  pero ir contra la narcocultira solucionaría más problemas,codigo_q2,URGENCIA-SEGURIDAD; INFANCIA-FUTURO; MULTIPLICIDAD-PRIORIDADES,URGENCIA-SEGURIDAD; MULTIPLICIDAD-PRIORIDADES
31,30,q2,Pasan muchas carencias y necesidades médicas,codigo_q2,INFANCIA-FUTURO,INFANCIA-VULNERABLE
35,34,q2,No opino,codigo_q2,MULTIPLICIDAD-PRIORIDADES,
38,37,q2,Porque si bien la primera infancia es importante  si una pareja está en una situación económicamente mal que no tienen para mantenerse. Hay muchísimos métodos GRATUITOS para no quedar embarazada. Creó que hay muchas familias que utilizan a sus hijos por los beneficios que el estado les da a los niños. También pienso que el gobierno tendría que priorizar otras cosas también. No hay trabajo  la salud es lamentable  la educación en decadencia  todos los días hay suicidios  la inseguridad crece cada día más y más  el narcotráfico ya instalado está haciendo desastre con la juventud destruyendo la sociedad,codigo_q2,MULTIPLICIDAD-PRIORIDADES; INFANCIA-FUTURO; URGENCIA-SEGURIDAD,MULTIPLICIDAD-PRIORIDADES; URGENCIA-SEGURIDAD; ENFOQUE-HOGAR
44,43,q2,Es importante la primer infancia.  Pero a mi parecer hay cosas más importantes. Ya que de los niños deben ocuparse los padres o tutores,codigo_q2,ENFOQUE-HOGAR; MULTIPLICIDAD-PRIORIDADES; INFANCIA-FUTURO,ENFOQUE-HOGAR; MULTIPLICIDAD-PRIORIDADES
53,52,q2,Ni deacuerdo ni desacuerdo,codigo_q2,MULTIPLICIDAD-PRIORIDADES,
62,61,q2,Estoy de acuerdo con su opinión porque siempre piensan en el pueblo,codigo_q2,INFANCIA-FUTURO,
77,76,q2,En desacuerdo,codigo_q2,MULTIPLICIDAD-PRIORIDADES,
87,86,q2,Por ser plan de gobierno que se trazo anteriormente,codigo_q2,MULTIPLICIDAD-PRIORIDADES,
92,91,q2,No sé,codigo_q2,INFANCIA-VULNERABLE,
100,99,q2,Porque no asen nada,codigo_q2,MULTIPLICIDAD-PRIORIDADES,
109,108,q2,Se juega el presente y el futuro de nuestra sociedad. Implica atención a las familias también y sus problemáticas,codigo_q2,INFANCIA-FUTURO; MULTIPLICIDAD-PRIORIDADES; ENFOQUE-HOGAR,INFANCIA-FUTURO; ENFOQUE-HOGAR
110,109,q2,Porque son los mas débiles y frágilesnPorque es un pais de tercera edad y va para peor,codigo_q2,INFANCIA-FUTURO; ENFOQUE-HOGAR,INFANCIA-VULNERABLE; AMPLIACION-EDAD
114,113,q2,Es la esencia donde hay niños bajo el nivel de pobreza hay una familia que no vive en condiciones dignas,codigo_q2,INFANCIA-VULNERABLE,INFANCIA-VULNERABLE; ENFOQUE-HOGAR
8,7,q5,Ninguna me convence mucho pero esa me parece la más cercana.,codigo_q5,SLOGAN-INFANCIA,SLOGAN-ELECCION-IDENTIDAD; ESCEPTICISMO-MARKETING
31,30,q5,4,codigo_q5,ESCEPTICISMO-MARKETING,SLOGAN-INFANCIA
34,33,q5,"porque no es potestad de los estados limosnear, sino dar derechos reales a las personas adultas que son las que tienen que administrar sus familias.",codigo_q5,SLOGAN-GENTE-AMPLIO; SLOGAN-INFANCIA; ESCEPTICISMO-MARKETING,SLOGAN-GENTE-AMPLIO; ESCEPTICISMO-MARKETING
41,40,q5,Porque creo que es el camino.,codigo_q5,ESCEPTICISMO-MARKETING,SLOGAN-GENTE-AMPLIO
52,51,q5,3,codigo_q5,ESCEPTICISMO-MARKETING,SLOGAN-ELECCION-IDENTIDAD
65,64,q5,Trabajo por Uruguay y para los uruguayos.,codigo_q5,ESCEPTICISMO-MARKETING; SLOGAN-GENTE-AMPLIO,SLOGAN-GENTE-AMPLIO
67,66,q5,Xw es el x venir,codigo_q5,ESCEPTICISMO-MARKETING,SLOGAN-INFANCIA
70,69,q5,Tenemos problemas de convivencia...y son muchos los factores   x todos conocidos que hay que apostar,codigo_q5,ESCEPTICISMO-MARKETING,SLOGAN-GENTE-AMPLIO
93,92,q5,Supongo que con esa frase quiere decir que los que eligieron este gobierno es porque quieren que el Uruguay sea así. Supongo que es eso.,codigo_q5,SLOGAN-INFANCIA; DESLINDE-RESPONSABILIDAD,DESLINDE-RESPONSABILIDAD
106,105,q5,Contesté en el mensaje anterior todo.,codigo_q5,DESLINDE-RESPONSABILIDAD,ESCEPTICISMO-MARKETING
110,109,q5,"Porque me parece que tiene que ser un poco poético, no sé si es exactamente esa frase, pero por ahí habría que ir buscando. Y porque tiene que hablar de esta tierra que es, y lo suavemente andulado me recuerda también el agua que tenemos, y es profundizar en el corazón de las niñezes para no olvidarlos.",codigo_q5,SLOGAN-INFANCIA; ESCEPTICISMO-MARKETING,SLOGAN-INFANCIA
116,115,q5,Porque como pais hay que ayudar a la gente,codigo_q5,ESCEPTICISMO-MARKETING; SLOGAN-GENTE-AMPLIO,SLOGAN-GENTE-AMPLIO
10,9,q6,No lo se,codigo_q6,IMPOTENCIA-CIUDADANA,
22,21,q6,"Uruguay el país que elegimos ser y la verdad no sé qué estará pensando el gobierno cuando puso esta frase. Uruguay el país que elegimos ser o sea que está la opción, no termino de entender que el Uruguay sería lo que nosotros, no sé, no lo entiendo.",codigo_q6,SIGNIFICADO-CONSTRUCCION; SIGNIFICADO-DEMOCRACIA,SLOGAN-VACIO
