"codigo","descripcion","categoria"
"Creíbles","Corresponde a respuestas cuya orientación predominante considera que las cifras presentadas son confiables, válidas o verosímiles como representación de la situación. Incluye expresiones de confianza explícita y respuestas donde la aceptación de los datos prevalece sobre cualquier reserva secundaria. Excluye respuestas dominadas por la desconfianza, la sospecha de manipulación o la suspensión del juicio.","1. Evaluación"
"No creíbles","Corresponde a respuestas cuya orientación predominante rechaza la credibilidad de las cifras o cuestiona su validez como reflejo de la situación real. Incluye percepciones de mentira, manipulación, distorsión, omisión o desconexión con la realidad observada. Excluye respuestas dubitativas o ambivalentes en las que no predomine claramente el rechazo de las cifras.","1. Evaluación"
"No sabe / Dudoso","Corresponde a respuestas que no adoptan una posición definida sobre la credibilidad de las cifras por falta de información, incertidumbre, duda metodológica o imposibilidad de evaluar con seguridad. Incluye formulaciones vacilantes, suspendidas o no concluyentes. Excluye respuestas donde, pese a matices o reservas, predomine con claridad la confianza o la desconfianza.","1. Evaluación"
"Maquillaje / Manipulación","Corresponde a respuestas que sostienen que las cifras fueron alteradas, acomodadas, presentadas de forma engañosa o manipuladas para favorecer una imagen política o de gestión. Incluye referencias a maquillaje, falsedad, distorsión o construcción interesada de los datos. Excluye cuestionamientos basados en subregistro, experiencia cotidiana o selección parcial si no aparece la idea de manipulación deliberada.","2. Argumentos de Desconfianza"
"Falta de Denuncia","Corresponde a respuestas que explican la aparente mejora de las cifras por una baja en la denuncia y no por una mejora real de la situación. Incluye la idea de que muchas personas no denuncian por desconfianza, cansancio o inutilidad percibida. Excluye respuestas que cuestionan las cifras por contradicción con la experiencia o por manipulación institucional sin referencia al subregistro por no denuncia.","2. Argumentos de Desconfianza"
"Contraste con Realidad","Corresponde a respuestas que descreen de las cifras porque consideran que la experiencia cotidiana, el entorno social o la observación directa contradicen lo que muestran los datos. Incluye apelaciones a la calle, al barrio, a la vida diaria o a lo que “se ve” como evidencia contraria. Excluye respuestas centradas en manipulación técnica, subdenuncia o selección interesada de indicadores si no aparece el contraste con la realidad vivida.","2. Argumentos de Desconfianza"
"Sesgo de Selección","Corresponde a respuestas que cuestionan las cifras porque consideran que se seleccionan, comparan o exhiben solo los datos convenientes para sostener un relato favorable. Incluye referencias a recortes parciales, uso estratégico de indicadores o comparación interesada de períodos. Excluye respuestas centradas en mentira abierta, subdenuncia o contradicción con la experiencia cotidiana si no aparece la idea de selección sesgada de información.","2. Argumentos de Desconfianza"
"Institucionalidad","Corresponde a respuestas que confían en las cifras por su carácter oficial, institucional o formalmente respaldado. Incluye la idea de que los datos merecen credibilidad por provenir de registros, organismos o autoridades reconocidas. Excluye respuestas que se apoyan principalmente en resultados observados o en el costo de mentir sin referencia a la legitimidad institucional de la fuente.","3. Argumentos de Confianza"
"Lógica de Riesgo","Corresponde a respuestas que consideran improbable la falsificación o mentira porque hacerlo implicaría un costo alto, sería fácil de descubrir o generaría consecuencias públicas relevantes. Incluye razonamientos centrados en el riesgo de ser desenmascarado. Excluye respuestas basadas en confianza institucional general o en valoración positiva de la gestión si no aparece el razonamiento sobre el costo de mentir.","3. Argumentos de Confianza"
"Gestión / Resultados","Corresponde a respuestas que confían en las cifras porque perciben una gestión adecuada, observan cambios consistentes o valoran positivamente los resultados atribuidos a esa gestión. Incluye confianza apoyada en desempeño, evolución o seriedad en la producción de los datos. Excluye respuestas cuya confianza se funda exclusivamente en la oficialidad de la fuente o en la improbabilidad de mentir.","3. Argumentos de Confianza"
"Sesgo Mediático (Alarma)","Corresponde a respuestas que atribuyen parte de la percepción de inseguridad a una cobertura mediática exagerada, alarmista, repetitiva o sensacionalista. Incluye referencias a amplificación del miedo, prensa amarilla o sobrerrepresentación de hechos delictivos. Excluye respuestas que usan los medios como respaldo de que la inseguridad es efectivamente alta.","4. Influencia Externa"
"Sesgo Mediático (Veracidad)","Corresponde a respuestas que toman la cobertura mediática o informativa como evidencia de que el problema es real y de que las cifras oficiales no lo reflejan adecuadamente. Incluye apelaciones a noticias, informativos o circulación de hechos delictivos como sustento de la desconfianza. Excluye respuestas que critican a los medios por exagerar o distorsionar la percepción pública.","4. Influencia Externa"
"Subjetividad / Sensación","Corresponde a respuestas que distinguen entre percepción subjetiva y medición objetiva, o que introducen la idea de que sensación y dato pertenecen a planos distintos. Incluye formulaciones que separan clima social, experiencia subjetiva o sensación pública de los números en sí mismos. Excluye respuestas de confianza o desconfianza directa que no desarrollen esta distinción conceptual.","5. Contexto / Otros"
"Desinterés / Falta de Info","Corresponde a respuestas que justifican la ausencia de juicio o la duda por desinformación, desinterés, escaso seguimiento del tema o falta de contacto con información relevante. Incluye expresiones de no estar al tanto, no mirar noticias o no contar con elementos suficientes para evaluar. Excluye respuestas que, aun reconociendo información limitada, adoptan una postura definida sobre la credibilidad de las cifras.","5. Contexto / Otros"
